FIR_ID,Crime_Type,Area,Latitude,Longitude,Date,Time,Severity,Status,Victim_Age,Victim_Gender,Day_of_Week,Hour
FIR00001,3,5,12.907746,77.642876,2024-08-27,1900-01-01 02:03:07,2,0,67,1,5,2
FIR00002,6,17,12.969451,77.749214,2025-11-07,1900-01-01 13:17:45,0,1,48,1,0,13
FIR00003,6,12,12.979043,77.574129,2024-12-19,1900-01-01 05:18:17,0,1,70,1,4,5
FIR00004,8,1,12.916365,77.569148,2026-06-06,1900-01-01 17:58:28,1,0,55,1,2,17
FIR00005,0,7,12.975269,77.635851,2024-10-03,1900-01-01 00:31:11,2,2,67,0,4,0
FIR00006,8,3,12.929577,77.673721,2024-12-14,1900-01-01 02:13:09,1,1,33,1,2,2
FIR00007,9,11,12.974574,77.609283,2026-05-17,1900-01-01 11:42:28,1,0,54,0,3,11
FIR00008,9,6,13.036697,77.596708,2026-04-30,1900-01-01 18:59:30,1,0,31,0,4,18
FIR00009,0,11,12.972885,77.60363,2025-05-21,1900-01-01 19:57:57,2,1,32,0,6,19
FIR00010,4,8,12.929885,77.589702,2026-07-13,1900-01-01 08:08:26,2,0,70,1,1,8
FIR00011,8,5,12.913675,77.643225,2025-05-30,1900-01-01 01:35:28,1,0,19,2,0,1
FIR00012,7,3,12.924717,77.674232,2025-08-31,1900-01-01 02:26:19,0,1,47,0,3,2
FIR00013,7,15,12.986804,77.551996,2026-02-19,1900-01-01 23:19:03,0,1,47,0,4,23
FIR00014,5,3,12.926079,77.675927,2026-02-12,1900-01-01 09:50:45,0,0,28,0,4,9
FIR00015,6,9,13.00564,77.690906,2025-05-04,1900-01-01 09:32:16,0,2,44,2,3,9
FIR00016,3,12,12.973199,77.57572,2024-08-02,1900-01-01 00:53:43,2,1,46,0,0,0
FIR00017,2,6,13.034394,77.601602,2025-08-27,1900-01-01 11:27:37,2,2,61,1,6,11
FIR00018,1,12,12.974912,77.570479,2024-08-13,1900-01-01 21:06:18,2,2,68,1,5,21
FIR00019,2,9,13.006455,77.690707,2025-04-14,1900-01-01 12:43:54,2,1,20,2,1,12
FIR00020,7,3,12.923453,77.67747,2026-02-20,1900-01-01 01:32:21,0,0,23,1,0,1
FIR00021,0,4,12.835299,77.675008,2025-03-01,1900-01-01 08:59:17,2,1,26,1,2,8
FIR00022,7,3,12.926377,77.680041,2025-03-28,1900-01-01 16:33:55,0,2,40,0,0,16
FIR00023,0,5,12.915791,77.646781,2024-12-30,1900-01-01 09:31:57,2,2,25,0,1,9
FIR00024,9,18,13.096897,77.592222,2025-01-10,1900-01-01 05:35:36,1,1,59,2,0,5
FIR00025,3,1,12.916968,77.572995,2025-11-13,1900-01-01 17:24:40,2,2,65,1,4,17
FIR00026,4,18,13.096478,77.599512,2026-07-23,1900-01-01 22:14:11,2,0,67,1,4,22
FIR00027,2,3,12.925079,77.680125,2025-02-03,1900-01-01 00:15:08,2,2,63,2,1,0
FIR00028,7,3,12.929319,77.672937,2025-01-12,1900-01-01 00:30:33,0,0,32,2,3,0
FIR00029,0,4,12.840481,77.672097,2025-12-07,1900-01-01 12:26:45,2,0,19,2,3,12
FIR00030,0,18,13.100666,77.595593,2026-02-16,1900-01-01 08:56:15,2,0,70,2,1,8
FIR00031,8,12,12.979723,77.57404,2025-04-28,1900-01-01 11:31:30,1,0,32,1,1,11
FIR00032,0,8,12.926313,77.590954,2026-05-30,1900-01-01 14:17:08,2,0,37,1,2,14
FIR00033,2,0,12.919918,77.607738,2025-01-02,1900-01-01 17:04:29,2,0,29,1,4,17
FIR00034,6,4,12.834968,77.680791,2025-06-06,1900-01-01 09:26:56,0,2,21,1,0,9
FIR00035,2,16,12.983749,77.601713,2024-07-29,1900-01-01 10:19:54,2,0,66,0,1,10
FIR00036,9,18,13.099324,77.601183,2026-04-08,1900-01-01 06:33:56,1,1,63,0,6,6
FIR00037,7,16,12.984271,77.605519,2025-01-17,1900-01-01 09:31:53,0,2,38,2,0,9
FIR00038,5,16,12.98555,77.604376,2024-10-18,1900-01-01 01:59:43,0,2,56,0,0,1
FIR00039,1,10,12.933658,77.625773,2024-10-07,1900-01-01 09:42:41,2,2,64,2,1,9
FIR00040,0,7,12.980219,77.643144,2025-08-19,1900-01-01 15:17:08,2,2,29,0,5,15
FIR00041,2,14,12.956693,77.698755,2026-05-21,1900-01-01 18:36:28,2,0,44,0,4,18
FIR00042,0,11,12.971567,77.602056,2025-03-11,1900-01-01 18:12:49,2,2,50,0,5,18
FIR00043,6,16,12.982911,77.602116,2026-02-15,1900-01-01 14:08:38,0,1,20,1,3,14
FIR00044,3,10,12.93895,77.627769,2025-07-28,1900-01-01 16:12:36,2,1,51,0,1,16
FIR00045,8,16,12.989135,77.606883,2024-11-25,1900-01-01 12:44:38,1,0,59,2,1,12
FIR00046,0,14,12.963038,77.699411,2025-11-27,1900-01-01 20:14:11,2,1,20,2,4,20
FIR00047,0,11,12.977883,77.609664,2025-03-16,1900-01-01 01:45:52,2,0,65,1,3,1
FIR00048,4,3,12.927081,77.67585,2026-04-30,1900-01-01 00:09:53,2,1,29,2,4,0
FIR00049,8,13,12.999488,77.566052,2026-06-22,1900-01-01 11:32:23,1,0,59,1,1,11
FIR00050,7,8,12.928052,77.589264,2024-10-05,1900-01-01 14:31:30,0,2,20,0,2,14
FIR00051,0,5,12.913155,77.648084,2025-02-02,1900-01-01 15:47:29,2,1,61,1,3,15
FIR00052,7,10,12.9315,77.623474,2026-02-07,1900-01-01 21:14:41,0,2,22,2,2,21
FIR00053,4,15,12.988879,77.555473,2024-12-28,1900-01-01 03:26:56,2,1,35,0,2,3
FIR00054,8,6,13.039749,77.59683,2025-09-18,1900-01-01 07:09:09,1,2,34,2,4,7
FIR00055,1,14,12.95796,77.696982,2025-04-26,1900-01-01 15:23:04,2,1,62,1,2,15
FIR00056,8,2,12.944184,77.571663,2026-01-04,1900-01-01 20:41:40,1,2,18,1,3,20
FIR00057,9,9,13.005476,77.690747,2025-10-20,1900-01-01 03:30:12,1,0,57,2,1,3
FIR00058,1,6,13.031319,77.592017,2025-07-13,1900-01-01 11:38:13,2,1,66,1,3,11
FIR00059,7,7,12.97817,77.64226,2025-11-14,1900-01-01 00:52:03,0,1,41,2,0,0
FIR00060,3,17,12.96795,77.746589,2024-08-16,1900-01-01 00:53:52,2,2,57,0,0,0
FIR00061,4,5,12.912514,77.651304,2026-06-29,1900-01-01 00:37:33,2,0,65,2,1,0
FIR00062,3,6,13.037257,77.592406,2025-09-10,1900-01-01 01:04:34,2,2,48,2,6,1
FIR00063,3,11,12.974679,77.606209,2025-10-04,1900-01-01 15:52:18,2,0,55,2,2,15
FIR00064,4,17,12.967963,77.753916,2026-06-07,1900-01-01 13:53:33,2,1,47,2,3,13
FIR00065,4,13,13.005792,77.569389,2025-02-25,1900-01-01 15:09:44,2,0,33,2,5,15
FIR00066,7,10,12.936682,77.619632,2026-01-07,1900-01-01 11:27:08,0,1,67,1,6,11
FIR00067,8,18,13.100901,77.595316,2024-09-11,1900-01-01 01:23:50,1,1,30,2,6,1
FIR00068,5,10,12.940012,77.627271,2024-11-22,1900-01-01 23:00:06,0,2,46,2,0,23
FIR00069,9,2,12.942618,77.571126,2024-12-28,1900-01-01 11:41:08,1,1,43,2,2,11
FIR00070,9,3,12.923775,77.676622,2024-11-04,1900-01-01 15:25:21,1,2,38,1,1,15
FIR00071,6,3,12.925503,77.672244,2025-04-24,1900-01-01 19:54:10,0,1,45,0,4,19
FIR00072,1,12,12.973225,77.571896,2024-08-11,1900-01-01 16:45:56,2,1,50,0,3,16
FIR00073,5,1,12.918426,77.575772,2024-07-28,1900-01-01 19:47:51,0,2,19,0,3,19
FIR00074,6,16,12.985689,77.604242,2026-01-06,1900-01-01 09:59:34,0,0,35,1,5,9
FIR00075,7,14,12.963659,77.69459,2025-07-15,1900-01-01 12:47:15,0,0,65,0,5,12
FIR00076,2,8,12.926179,77.588835,2026-02-13,1900-01-01 08:36:42,2,2,24,0,0,8
FIR00077,7,16,12.98696,77.602997,2026-03-24,1900-01-01 04:44:19,0,2,19,0,5,4
FIR00078,3,18,13.103898,77.594165,2025-04-25,1900-01-01 09:07:06,2,2,41,2,0,9
FIR00079,5,6,13.040285,77.595461,2024-11-08,1900-01-01 12:27:33,0,0,33,1,0,12
FIR00080,4,6,13.040598,77.595349,2024-08-05,1900-01-01 00:31:19,2,0,69,2,1,0
FIR00081,0,8,12.920347,77.589186,2025-01-14,1900-01-01 17:43:08,2,1,70,2,5,17
FIR00082,6,8,12.924605,77.589517,2025-11-05,1900-01-01 08:10:02,0,0,70,0,6,8
FIR00083,1,5,12.907775,77.651265,2025-11-17,1900-01-01 13:50:08,2,2,42,1,1,13
FIR00084,3,9,13.005119,77.699428,2024-09-10,1900-01-01 10:25:10,2,1,45,0,5,10
FIR00085,5,16,12.981556,77.601623,2025-09-13,1900-01-01 04:28:16,0,2,58,1,2,4
FIR00086,0,4,12.844695,77.67365,2026-03-02,1900-01-01 04:19:39,2,1,48,1,1,4
FIR00087,7,14,12.956225,77.695049,2026-02-07,1900-01-01 07:21:40,0,2,62,2,2,7
