FIR_ID,Crime_Type,Area,Latitude,Longitude,Date,Time,Severity,Status,Victim_Age,Victim_Gender
FIR00001,Murder,Banashankari,12.913652,77.574747,2025-05-24,09:36:26,High,Under Investigation,66,Male
FIR00002,Murder,Marathahalli,12.957863,77.697165,2024-09-10,20:27:59,High,Closed,22,Female
FIR00003,Assault,Marathahalli,12.958266,77.702141,2025-06-19,03:53:52,Medium,Open,56,Female
FIR00004,Cyber Crime,Malleshwaram,13.006425,77.574383,2025-11-09,05:20:16,Medium,Closed,19,Male
FIR00005,Cyber Crime,Indiranagar,12.976155,77.64148,2026-05-17,13:33:43,Medium,Closed,63,Female
FIR00006,Assault,Koramangala,12.934499,77.626361,2025-03-05,14:30:59,Medium,Under Investigation,34,Male
FIR00007,Cyber Crime,Hebbal,13.0348,77.601925,2024-11-27,00:14:23,Medium,Under Investigation,24,Other
FIR00008,Theft,Marathahalli,12.958083,77.692599,2024-09-02,19:01:13,Low,Under Investigation,40,Other
FIR00009,Fraud,Bellandur,12.932259,77.671669,2025-11-01,23:24:39,Medium,Closed,68,Other
FIR00010,Robbery,Malleshwaram,13.007356,77.573251,2025-03-10,15:38:55,High,Closed,49,Other
FIR00011,Domestic Violence,MG Road,12.970931,77.604898,2025-07-29,09:02:51,Medium,Under Investigation,36,Female
FIR00012,Vehicle Theft,BTM Layout,12.913897,77.609635,2025-03-26,13:29:50,Low,Open,61,Other
FIR00013,Murder,Bellandur,12.92388,77.672165,2024-07-23,15:16:32,High,Open,55,Male
FIR00014,Theft,Banashankari,12.913959,77.575396,2025-11-21,00:14:48,Low,Closed,69,Female
FIR00015,Kidnapping,Hebbal,13.037536,77.599752,2026-05-13,06:10:50,High,Open,60,Other
FIR00016,Murder,Marathahalli,12.960742,77.69585,2025-06-22,14:33:14,High,Open,70,Male
FIR00017,Assault,Rajajinagar,12.993552,77.557153,2025-10-13,07:37:43,Medium,Closed,62,Female
FIR00018,Murder,Banashankari,12.918729,77.577587,2025-12-04,13:46:17,High,Open,32,Male
FIR00019,Vehicle Theft,Banashankari,12.91966,77.576466,2025-03-11,12:06:33,Low,Closed,41,Male
FIR00020,Murder,Whitefield,12.966013,77.749323,2025-05-18,02:20:27,High,Under Investigation,31,Other
FIR00021,Murder,Hebbal,13.031093,77.599608,2026-02-09,05:35:15,High,Closed,58,Male
FIR00022,Fraud,Yelahanka,13.1031,77.593195,2024-12-13,03:58:30,Medium,Under Investigation,70,Female
FIR00023,Fraud,Yelahanka,13.098023,77.601171,2026-06-06,03:05:57,Medium,Closed,20,Male
FIR00024,Vehicle Theft,Indiranagar,12.980697,77.643153,2024-10-15,11:31:47,Low,Under Investigation,35,Other
FIR00025,Vehicle Theft,MG Road,12.973462,77.600937,2024-12-10,06:39:32,Low,Under Investigation,35,Other
FIR00026,Vehicle Theft,Indiranagar,12.98094,77.638555,2024-11-16,02:28:10,Low,Closed,27,Other
FIR00027,Fraud,MG Road,12.975702,77.607496,2025-07-09,06:14:45,Medium,Open,41,Other
FIR00028,Robbery,MG Road,12.976406,77.608535,2024-11-09,02:07:43,High,Open,23,Female
FIR00029,Drug Offense,Marathahalli,12.957666,77.696324,2025-05-02,01:36:15,Medium,Under Investigation,44,Male
FIR00030,Theft,Indiranagar,12.97768,77.636002,2026-01-24,22:25:33,Low,Open,56,Female
FIR00031,Vehicle Theft,Yelahanka,13.104953,77.599803,2026-04-08,08:18:40,Low,Under Investigation,19,Male
FIR00032,Cyber Crime,HSR Layout,12.915006,77.649393,2025-12-15,07:53:19,Medium,Open,61,Female
FIR00033,Theft,Malleshwaram,13.006535,77.57034,2026-01-13,21:17:09,Low,Closed,31,Female
FIR00034,Kidnapping,Bellandur,12.931094,77.676251,2026-06-05,06:32:23,High,Closed,22,Female
FIR00035,Drug Offense,Yelahanka,13.105555,77.597127,2025-06-07,06:05:34,Medium,Under Investigation,46,Female
FIR00036,Kidnapping,Whitefield,12.968441,77.749823,2024-10-06,04:57:23,High,Under Investigation,45,Female
FIR00037,Fraud,Malleshwaram,13.001888,77.574333,2025-08-14,12:03:16,Medium,Under Investigation,53,Male
FIR00038,Robbery,Koramangala,12.935362,77.621359,2025-04-20,01:11:06,High,Under Investigation,49,Female
FIR00039,Drug Offense,Hebbal,13.035471,77.594576,2026-07-19,23:07:40,Medium,Closed,23,Other
FIR00040,Murder,Rajajinagar,12.99037,77.551741,2024-12-19,00:13:55,High,Open,29,Female
FIR00041,Fraud,Koramangala,12.937789,77.622348,2024-12-09,00:52:38,Medium,Under Investigation,47,Other
FIR00042,Assault,Bellandur,12.924901,77.672097,2025-03-07,20:27:43,Medium,Closed,30,Female
FIR00043,Cyber Crime,HSR Layout,12.906813,77.64322,2025-11-25,07:10:19,Medium,Under Investigation,32,Female
FIR00044,Domestic Violence,Hebbal,13.039194,77.597305,2026-01-01,20:48:29,Medium,Under Investigation,58,Other
FIR00045,Drug Offense,MG Road,12.977121,77.605752,2024-08-22,19:37:53,Medium,Open,54,Female
FIR00046,Murder,Marathahalli,12.957256,77.700151,2025-07-24,08:41:08,High,Under Investigation,57,Male
FIR00047,Vehicle Theft,Hebbal,13.034852,77.595753,2024-11-21,22:21:05,Low,Under Investigation,33,Male
FIR00048,Murder,Malleshwaram,13.007104,77.565639,2025-08-26,09:28:42,High,Under Investigation,63,Other
FIR00049,Theft,Whitefield,12.969199,77.748118,2025-11-05,14:14:43,Low,Under Investigation,70,Male
FIR00050,Domestic Violence,Jayanagar,12.926559,77.588919,2025-11-18,10:39:12,Medium,Under Investigation,30,Other
FIR00051,Domestic Violence,Bellandur,12.92822,77.674622,2024-10-08,17:42:17,Medium,Under Investigation,46,Male
FIR00052,Assault,Bellandur,12.931094,77.672787,2025-03-31,06:54:35,Medium,Closed,53,Male
FIR00053,Kidnapping,Electronic City,12.840478,77.680244,2024-10-07,03:32:02,High,Under Investigation,20,Female
FIR00054,Vehicle Theft,Electronic City,12.843995,77.676998,2025-06-06,09:54:33,Low,Open,47,Other
FIR00055,Theft,BTM Layout,12.913128,77.610116,2025-03-25,11:08:58,Low,Open,21,Other
FIR00056,Vehicle Theft,HSR Layout,12.907201,77.647605,2026-04-07,21:45:57,Low,Under Investigation,68,Female
FIR00057,Robbery,HSR Layout,12.914787,77.644903,2025-03-09,21:37:12,High,Closed,41,Male
FIR00058,Cyber Crime,Jayanagar,12.924768,77.592749,2026-01-17,09:51:58,Medium,Under Investigation,24,Female
FIR00059,Kidnapping,MG Road,12.979325,77.605949,2025-12-29,18:58:00,High,Under Investigation,65,Male
FIR00060,Domestic Violence,Bellandur,12.927693,77.673002,2025-01-16,00:06:48,Medium,Under Investigation,64,Male
FIR00061,Assault,Hebbal,13.039109,77.596187,2025-06-03,10:03:23,Medium,Under Investigation,46,Other
FIR00062,Theft,Yelahanka,13.100005,77.59132,2025-01-14,20:09:29,Low,Under Investigation,34,Male
FIR00063,Cyber Crime,Hebbal,13.033763,77.595192,2025-09-09,03:16:40,Medium,Open,48,Female
FIR00064,Kidnapping,Rajajinagar,12.992694,77.559339,2024-11-09,04:29:14,High,Under Investigation,30,Female
FIR00065,Theft,Jayanagar,12.92398,77.598659,2025-05-16,14:49:32,Low,Under Investigation,26,Other
FIR00066,Drug Offense,Marathahalli,12.961741,77.700099,2024-11-29,18:47:07,Medium,Closed,65,Other
FIR00067,Vehicle Theft,Marathahalli,12.960683,77.696255,2025-08-25,05:30:48,Low,Under Investigation,33,Other
FIR00068,Theft,Rajajinagar,12.99051,77.551724,2025-06-19,18:41:28,Low,Under Investigation,54,Female
FIR00069,Murder,MG Road,12.977032,77.600573,2026-07-18,23:14:06,High,Open,50,Female
FIR00070,Assault,Koramangala,12.930333,77.629311,2025-11-03,08:39:24,Medium,Open,46,Male
FIR00071,Assault,BTM Layout,12.920688,77.605201,2026-05-11,21:09:28,Medium,Under Investigation,54,Female
FIR00072,Drug Offense,Rajajinagar,12.987934,77.55719,2026-01-21,13:09:38,Medium,Open,54,Male
FIR00073,Vehicle Theft,Electronic City,12.840185,77.673289,2026-02-10,16:40:52,Low,Closed,54,Male
FIR00074,Assault,Bellandur,12.92739,77.679663,2026-03-12,03:56:12,Medium,Under Investigation,18,Male
FIR00075,Domestic Violence,Jayanagar,12.925777,77.593472,2026-06-09,21:24:06,Medium,Closed,21,Male
FIR00076,Assault,BTM Layout,12.916033,77.608155,2025-06-01,02:59:31,Medium,Open,23,Female
FIR00077,Assault,Indiranagar,12.976149,77.639267,2025-12-01,09:30:58,Medium,Closed,55,Other
FIR00078,Robbery,Electronic City,12.840126,77.672957,2025-08-05,22:07:30,High,Open,63,Female
FIR00079,Theft,Marathahalli,12.956095,77.700581,2026-04-25,14:11:14,Low,Closed,53,Other
FIR00080,Domestic Violence,MG Road,12.974594,77.605224,2024-12-26,23:56:42,Medium,Closed,51,Male
FIR00081,Robbery,Rajajinagar,12.994627,77.554515,2025-01-29,03:28:58,High,Under Investigation,40,Other
FIR00082,Assault,Bellandur,12.930705,77.68053,2025-05-11,18:40:08,Medium,Under Investigation,59,Male
