Hotspot_ID,Latitude,Longitude,Crime_Count,Risk
0,12.970000565031983,77.75008308102345,469,High
1,12.935294825,77.62456928863637,440,High
2,12.978147147186148,77.64084132467532,462,High
3,12.991630309468823,77.55472370207852,433,High
4,12.924959250574712,77.59384365977012,435,High
5,12.83981759305211,77.67690084863524,403,High
6,12.927849470715834,77.67633848806942,461,High
7,12.975543836956522,77.60488733913044,460,High
8,13.035937365800867,77.5968149935065,462,High
9,13.100654500000001,77.59633108515284,458,High
10,12.959228416107381,77.69751909843401,447,High
11,12.911661227876108,77.64736913495574,452,High
12,12.916537333333334,77.60994792671394,423,High
13,13.003498467889909,77.57064927522936,436,High
14,12.918422183006538,77.57346549019607,459,High
